1,2,3,4,5,6,7,8
0.76582,2.3262,2.3262,2.3262,0.46462,1.1852,1.1852,1.1852
0.81912,2.5673,2.5673,2.5673,0.4097,0.99336,0.99336,0.99336
0.82203,2.7121,2.7121,2.7121,0.46523,1.1811,1.1811,1.1811
0.84496,2.4441,2.4441,2.4441,0.40687,1.0219,1.0219,1.0219
0.66197,1.8851,1.8851,1.8851,0.37515,0.82981,0.82981,0.82981
0.85223,2.6337,2.6337,2.6337,0.48052,0.87865,0.87865,0.87865
0.65018,1.8021,1.8021,1.8021,0.44953,1.1742,1.1742,1.1742
0.8143,2.7089,2.7089,2.7089,0.50582,1.2367,1.2367,1.2367
0.80888,2.9617,2.9617,2.9617,0.54434,1.3795,1.3795,1.3795
0.7554,2.679,2.679,2.679,0.35951,0.75155,0.75155,0.75155
0.6574,1.9141,1.9141,1.9141,0.40953,0.89726,0.89726,0.89726
0.6934,2.1263,2.1263,2.1263,0.44889,1.0964,1.0964,1.0964
0.8546,2.713,2.713,2.713,0.33296,0.72318,0.72318,0.72318
0.73195,2.3386,2.3386,2.3386,0.25715,0.7167,0.7167,0.7167
0.5393,1.5134,1.5134,1.5134,0.2472,0.63581,0.63581,0.63581
0.86035,2.8661,2.8661,2.8661,0.33712,0.85663,0.85663,0.85663
0.85838,3.1862,3.1862,3.1862,0.37307,0.81824,0.81824,0.81824
0.93356,3.3616,3.3616,3.3616,0.35657,0.75327,0.75327,0.75326
0.49075,1.7891,1.7891,1.7891,0.1187,0.42982,0.42982,0.42982
,,,,,,,
0.51871,1.7584,1.7584,1.7584,0.044417,0.38015,0.38015,0.38015
0.40978,1.5851,1.5852,1.5852,0.033987,0.35827,0.35827,0.35827
0.7647,2.765,2.765,2.765,0.35971,0.9009,0.9009,0.9009
0.77918,2.7572,2.7572,2.7572,0.28895,0.70257,0.70258,0.70258
0.6456,2.3502,2.3502,2.3502,0.22192,0.61093,0.61093,0.61093
0.84828,3.4076,3.4076,3.4076,0.28187,0.64711,0.64711,0.64711
0.74037,2.5775,2.5775,2.5775,0.31177,0.83207,0.83207,0.83208
0.68305,2.1895,2.1895,2.1895,0.16403,0.50693,0.50693,0.50693
0.69978,2.087,2.087,2.087,0.20052,0.70165,0.70165,0.70165
0.55849,1.813,1.813,1.813,0.17497,0.48147,0.48147,0.48147
0.73347,2.6382,2.6382,2.6382,0.37942,0.95591,0.95591,0.95591
0.76692,3.0085,3.0085,3.0085,0.33484,0.80641,0.80641,0.80641
,,,,,,,
0.82018,3.4519,3.4519,3.4519,0.34723,0.89526,0.89526,0.89526
,,,,,,,
0.7834,2.4741,2.4741,2.4741,0.2187,0.57214,0.57214,0.57214
