1,2,3,4,5,6,7,8
0.72143,2.2498,2.2498,2.2498,0.55431,1.376,1.376,1.376
0.744,2.2705,2.2705,2.2705,0.51868,1.3465,1.3465,1.3465
0.82426,2.721,2.721,2.721,0.60855,1.5475,1.5475,1.5475
0.7751,2.3794,2.3794,2.3794,0.52054,1.4248,1.4248,1.4248
0.7171,2.1104,2.1104,2.1104,0.41041,1.0142,1.0142,1.0142
0.85978,2.6248,2.6248,2.6248,0.52801,1.2076,1.2076,1.2076
0.67406,1.8408,1.8408,1.8408,0.50896,1.2288,1.2288,1.2288
0.81425,2.4435,2.4435,2.4435,0.53751,1.3472,1.3472,1.3472
0.89159,2.8353,2.8353,2.8353,0.61472,1.6133,1.6133,1.6133
0.87077,2.3751,2.3751,2.3751,0.45409,1.1888,1.1888,1.1888
0.69826,1.7561,1.7561,1.7561,0.43642,1.0294,1.0294,1.0294
0.93677,2.5198,2.5198,2.5198,0.44259,1.1732,1.1732,1.1732
0.86822,2.5685,2.5685,2.5685,0.35201,0.85263,0.85263,0.85263
0.91396,3.1028,3.1028,3.1028,0.3697,0.92812,0.92812,0.92812
0.92656,3.0274,3.0274,3.0274,0.55886,1.3776,1.3776,1.3776
0.65799,1.9949,1.9949,1.9949,0.31156,0.65908,0.65908,0.65908
0.56915,1.8865,1.8865,1.8865,0.15607,0.55534,0.55534,0.55534
0.82744,2.9401,2.9401,2.9401,0.40182,0.97508,0.97508,0.97508
0.90455,3.2282,3.2282,3.2282,0.43022,0.96651,0.96651,0.96651
0.68047,2.3662,2.3662,2.3662,0.28685,0.67018,0.67018,0.67018
0.654,2.6258,2.6258,2.6258,0.38853,1.1009,1.1009,1.1009
0.44117,1.4182,1.4182,1.4182,0.031333,0.3557,0.3557,0.3557
0.69474,2.5706,2.5706,2.5706,0.40241,1.007,1.007,1.007
0.42408,1.416,1.416,1.416,0.098491,0.57307,0.57307,0.57307
0.86055,2.923,2.923,2.923,0.3407,1.0343,1.0343,1.0343
0.69492,2.4527,2.4527,2.4527,0.22231,0.59419,0.59419,0.59419
0.80809,2.7866,2.7866,2.7866,0.34069,0.9956,0.9956,0.9956
0.87108,3.2666,3.2666,3.2666,0.38708,1.0493,1.0493,1.0493
0.81049,3.0014,3.0014,3.0014,0.44439,1.1044,1.1044,1.1044
0.64102,1.7748,1.7748,1.7748,0.21441,0.54869,0.54869,0.54869
0.78569,2.252,2.252,2.252,0.48783,1.3316,1.3316,1.3316
0.6813,1.6474,1.6474,1.6474,0.22546,0.70741,0.70741,0.70741
0.77006,2.479,2.479,2.479,0.37524,1.0054,1.0054,1.0054
0.83874,3.1477,3.1477,3.1477,0.39227,0.87826,0.87826,0.87826
0.84752,2.944,2.944,2.944,0.45452,1.1594,1.1594,1.1594
0.87433,3.213,3.213,3.213,0.45629,1.0719,1.0719,1.0719
