1,2,3,4,5,6,7,8
0.80432,2.7667,2.7667,2.7667,0.41796,1.0848,1.0848,1.0848
0.77305,2.5304,2.5304,2.5304,0.44152,1.0605,1.0605,1.0605
0.80546,2.9173,2.9173,2.9173,0.48832,1.2663,1.2663,1.2663
0.66749,1.8856,1.8856,1.8856,0.31139,0.66074,0.66074,0.66074
0.92943,2.7986,2.7986,2.7986,0.35655,0.83853,0.83853,0.83853
0.91655,2.7063,2.7063,2.7063,0.38127,0.90793,0.90793,0.90793
0.70837,2.1611,2.1612,2.1611,0.30097,0.65198,0.65198,0.65198
0.62467,1.8832,1.8832,1.8832,0.31432,0.71519,0.71519,0.71519
0.68736,2.3722,2.3722,2.3722,0.40738,0.83104,0.83104,0.83104
0.80715,2.3328,2.3328,2.3328,0.29521,0.9285,0.9285,0.9285
0.6799,1.8526,1.8526,1.8526,0.22101,0.66837,0.66836,0.66836
0.76155,2.1495,2.1495,2.1495,0.30458,0.98643,0.98643,0.98643
0.86443,2.8107,2.8107,2.8107,0.25879,0.75197,0.75197,0.75197
0.52591,1.3911,1.3911,1.3911,0.094872,0.43428,0.43428,0.43428
0.87347,2.9765,2.9765,2.9765,0.20525,0.61763,0.61763,0.61763
0.89591,3.2554,3.2554,3.2554,0.39403,0.84857,0.84857,0.84857
0.853,2.9975,2.9975,2.9975,0.23922,0.6474,0.6474,0.6474
0.40915,1.4014,1.4013,1.4013,0.070206,0.42923,0.42923,0.42923
0.71677,2.4472,2.4472,2.4472,0.14472,0.472,0.472,0.472
0.94632,3.3298,3.3298,3.3298,0.22659,0.6132,0.6132,0.6132
0.44077,1.7424,1.7424,1.7424,0.10278,0.493,0.493,0.493
0.78323,2.5454,2.5454,2.5454,0.17467,0.55574,0.55574,0.55574
0.76951,2.7219,2.7219,2.7219,0.2464,0.62738,0.62738,0.62738
0.8493,3.3582,3.3582,3.3582,0.26642,0.98174,0.98174,0.98174
0.87736,3.1531,3.1531,3.1531,0.21233,0.71203,0.71203,0.71203
0.83597,2.7084,2.7084,2.7084,0.18738,0.64995,0.64995,0.64995
1.0036,3.3948,3.3948,3.3948,0.19656,0.51871,0.51871,0.51871
0.62008,2.2369,2.2369,2.2369,0.10871,0.48781,0.48781,0.48781
0.69938,1.9479,1.9479,1.9479,0.20619,0.65219,0.65219,0.65219
0.77961,2.5588,2.5588,2.5588,0.17764,0.76537,0.76537,0.76537
0.8691,3.1838,3.1838,3.1838,0.30886,0.82146,0.82146,0.82146
0.90413,3.3176,3.3176,3.3176,0.38299,0.91672,0.91672,0.91672
0.89178,3.1623,3.1623,3.1623,0.29884,0.7588,0.7588,0.7588
0.77509,2.4628,2.4628,2.4628,0.18709,0.73022,0.73022,0.73022
0.79314,2.5274,2.5274,2.5274,0.26221,0.64287,0.64287,0.64287
0.74119,2.4592,2.4592,2.4592,0.19663,0.54941,0.54941,0.54941
