1,2,3,4,5,6,7,8
0.76738,2.2526,2.2526,2.2526,0.67372,1.9298,1.9298,1.9298
0.77186,2.3223,2.3223,2.3223,0.63763,1.8506,1.8506,1.8506
0.74989,2.2617,2.2617,2.2617,0.61327,1.7998,1.7998,1.7998
0.65248,1.9713,1.9713,1.9713,0.58251,1.5089,1.5089,1.5089
0.93077,2.9781,2.9781,2.9781,0.61633,1.663,1.663,1.663
0.90868,2.7429,2.7429,2.7429,0.68481,2.0085,2.0085,2.0085
0.88831,3.004,3.004,3.004,0.6369,1.802,1.802,1.802
0.78268,2.3603,2.3602,2.3602,0.67185,1.9605,1.9605,1.9605
0.78403,2.6269,2.6269,2.6269,0.70105,1.9812,1.9812,1.9812
0.69534,2.1946,2.1946,2.1946,0.59051,1.6724,1.6724,1.6724
0.68795,2.642,2.642,2.642,0.57911,1.6124,1.6124,1.6124
0.6829,2.4716,2.4716,2.4716,0.7057,2.4771,2.4771,2.4771
0.88523,2.8182,2.8182,2.8182,0.62386,1.5844,1.5844,1.5844
0.44242,1.2636,1.2636,1.2636,0.24317,0.60155,0.60155,0.60155
0.85931,2.6685,2.6685,2.6685,0.46539,1.2277,1.2277,1.2277
0.94399,2.9941,2.9941,2.9941,0.6854,1.9633,1.9633,1.9633
0.907,2.9836,2.9836,2.9836,0.41763,1.576,1.576,1.576
0.35492,1.296,1.296,1.296,0.10857,0.49017,0.49017,0.49017
0.81644,3.0324,3.0324,3.0324,0.48813,1.5254,1.5254,1.5254
0.90559,3.0682,3.0682,3.0682,0.40416,1.2956,1.2956,1.2956
0.68058,2.3804,2.3804,2.3804,0.38991,1.1257,1.1257,1.1257
0.86618,2.9586,2.9586,2.9586,0.40125,1.1082,1.1082,1.1082
0.4028,1.6061,1.6061,1.6061,0.1663,0.48548,0.48548,0.48548
0.80552,3.0879,3.0879,3.0879,0.58807,1.8044,1.8044,1.8044
0.69498,2.072,2.072,2.072,0.36336,1.0256,1.0256,1.0256
0.88633,2.9428,2.9428,2.9428,0.47014,1.3382,1.3382,1.3382
0.92922,2.9572,2.9572,2.9572,0.46692,1.4109,1.4109,1.4109
0.66624,1.9835,1.9835,1.9835,0.43459,1.255,1.255,1.255
0.74345,2.2892,2.2892,2.2892,0.55543,1.5705,1.5705,1.5705
0.8128,2.7335,2.7335,2.7335,0.44603,1.1984,1.1984,1.1984
0.73334,1.9362,1.9362,1.9362,0.42157,1.0965,1.0965,1.0965
0.85272,2.8432,2.8432,2.8432,0.64446,2.3574,2.3574,2.3574
0.85633,2.7912,2.7912,2.7912,0.50565,1.3731,1.3731,1.3731
0.71057,2.3825,2.3825,2.3825,0.41307,1.2387,1.2387,1.2387
0.83606,2.9993,2.9993,2.9993,0.55442,1.712,1.712,1.712
0.76339,2.5877,2.5877,2.5877,0.52344,1.4535,1.4535,1.4535
