1,2,3,4,5,6,7,8
0.80706,2.1838,2.1838,2.1838,0.51291,1.4101,1.4101,1.4101
0.6463,1.7073,1.7073,1.7073,0.5052,1.3561,1.3561,1.3561
0.86792,2.5786,2.5786,2.5786,0.56832,1.5447,1.5447,1.5447
0.69923,1.9217,1.9217,1.9217,0.53486,1.3762,1.3762,1.3762
0.8068,2.4441,2.4441,2.4441,0.56288,1.444,1.444,1.444
0.82603,2.6307,2.6307,2.6307,0.59347,1.6079,1.6079,1.6079
0.70742,2.1562,2.1562,2.1562,0.50874,1.3495,1.3495,1.3495
0.68351,1.9378,1.9378,1.9378,0.47664,1.335,1.335,1.335
0.80686,2.4896,2.4896,2.4896,0.53638,1.5,1.5,1.5
0.80397,2.2134,2.2134,2.2134,0.53428,1.3948,1.3948,1.3948
0.68713,1.8905,1.8905,1.8905,0.54266,1.4093,1.4093,1.4093
0.80321,2.2495,2.2495,2.2495,0.57524,1.5159,1.5159,1.5159
0.73902,2.2493,2.2493,2.2493,0.37887,0.99059,0.99059,0.99059
0.60014,1.6866,1.6866,1.6866,0.24223,0.63065,0.63065,0.63065
0.8792,2.9487,2.9487,2.9487,0.4817,1.2984,1.2984,1.2984
0.781,2.5987,2.5987,2.5987,0.43171,1.3385,1.3385,1.3385
0.67978,1.9662,1.9662,1.9662,0.33144,0.92029,0.92029,0.92029
0.45563,1.3642,1.3643,1.3643,0.11202,0.4116,0.4116,0.4116
0.76453,2.274,2.274,2.274,0.43494,1.1315,1.1315,1.1315
0.76396,2.3758,2.3758,2.3758,0.37007,1.1191,1.1191,1.1191
0.56864,1.7069,1.7069,1.7069,0.17652,0.55075,0.55075,0.55075
0.80226,2.408,2.408,2.408,0.3645,0.85342,0.85342,0.85342
0.40546,1.2688,1.2688,1.2688,0.072844,0.37547,0.37547,0.37547
0.73755,2.4338,2.4338,2.4338,0.37509,0.94421,0.94421,0.94421
0.78637,2.8223,2.8223,2.8223,0.47803,1.2409,1.2409,1.2409
0.76844,2.5071,2.5071,2.5071,0.36004,1.0056,1.0056,1.0056
0.74623,2.6253,2.6253,2.6253,0.37612,1.0973,1.0973,1.0973
0.64695,2.268,2.268,2.268,0.27384,0.82736,0.82736,0.82736
0.73989,2.0953,2.0953,2.0953,0.44931,1.0587,1.0587,1.0587
0.74569,2.2759,2.2759,2.2759,0.44521,1.1746,1.1746,1.1746
0.77553,2.0852,2.0852,2.0852,0.34468,0.9121,0.9121,0.9121
0.72808,2.569,2.569,2.569,0.51206,1.4506,1.4506,1.4506
0.89795,3.0318,3.0318,3.0318,0.54878,1.3686,1.3686,1.3686
0.73861,2.5667,2.5667,2.5667,0.38814,1.0476,1.0476,1.0476
0.86346,2.8574,2.8574,2.8574,0.47565,1.2111,1.2111,1.2111
0.73893,2.2919,2.2919,2.2919,0.41175,1.0524,1.0524,1.0524
