1,2,3,4,5,6,7,8
0.81334,2.787,2.787,2.787,0.6222,1.5006,1.5006,1.5006
0.67754,1.8539,1.8539,1.8539,0.58319,1.4436,1.4436,1.4436
0.76733,2.7849,2.7849,2.7849,0.63696,1.5954,1.5954,1.5954
0.69786,1.9063,1.9063,1.9063,0.56744,1.4487,1.4487,1.4487
0.70271,2.0939,2.0939,2.0939,0.50033,1.241,1.241,1.241
0.79054,2.6172,2.6172,2.6172,0.55849,1.3451,1.3451,1.3451
0.72992,2.3823,2.3823,2.3823,0.58126,1.6132,1.6132,1.6132
0.62521,1.8705,1.8705,1.8705,0.59087,1.5162,1.5162,1.5162
0.79851,2.672,2.672,2.672,0.61064,1.6803,1.6803,1.6803
0.57594,1.7165,1.7165,1.7165,0.51746,1.3054,1.3054,1.3054
0.79045,2.4327,2.4327,2.4327,0.56268,1.3274,1.3274,1.3274
0.83494,2.6626,2.6626,2.6626,0.6033,1.5144,1.5144,1.5144
0.79572,2.53,2.53,2.53,0.40145,1.048,1.048,1.048
0.80733,2.4327,2.4327,2.4327,0.33698,0.7393,0.7393,0.7393
0.82915,2.5504,2.5504,2.5504,0.46232,1.0934,1.0934,1.0934
0.97165,2.9838,2.9838,2.9838,0.51753,1.3052,1.3052,1.3052
0.89986,2.7831,2.7831,2.7831,0.43609,1.3499,1.3499,1.3499
0.7321,2.1782,2.1782,2.1782,0.35665,0.87627,0.87627,0.87627
0.78681,2.3732,2.3732,2.3732,0.37969,1.1461,1.1461,1.1461
0.95366,3.1131,3.1131,3.1131,0.45904,1.3635,1.3635,1.3635
0.49349,1.5804,1.5804,1.5804,0.21267,0.66839,0.66839,0.66839
0.92838,2.9309,2.9309,2.9309,0.42467,1.0749,1.0749,1.0749
0.93428,2.9074,2.9074,2.9074,0.45882,1.1307,1.1307,1.1307
0.7017,2.2945,2.2945,2.2945,0.37193,0.86418,0.86418,0.86418
0.85812,2.7607,2.7607,2.7607,0.44879,1.1625,1.1625,1.1625
0.85577,2.6049,2.6049,2.6049,0.46022,1.2237,1.2237,1.2237
0.78464,2.3956,2.3956,2.3956,0.40769,1.0624,1.0624,1.0624
0.67629,2.034,2.034,2.034,0.40496,1.0122,1.0122,1.0122
0.60716,1.9889,1.9889,1.9889,0.30763,0.74452,0.74452,0.74452
0.8086,3.034,3.034,3.034,0.46473,1.1489,1.1489,1.1489
0.91576,3.481,3.481,3.481,0.53344,1.3928,1.3928,1.3928
0.89058,3.2985,3.2985,3.2985,0.54693,1.4032,1.4032,1.4032
0.89554,3.2663,3.2663,3.2663,0.57825,1.4584,1.4584,1.4584
0.88361,3.0314,3.0314,3.0314,0.58935,1.51,1.51,1.51
0.732,2.3785,2.3785,2.3785,0.47597,1.1699,1.1699,1.1699
0.84304,2.9021,2.9021,2.9021,0.58199,1.4121,1.4121,1.4121
