1,2,3,4,5,6,7,8
0.64852,1.7545,1.7545,1.7545,0.43854,1.0773,1.0773,1.0773
0.85663,2.8722,2.8722,2.8722,0.48226,1.1794,1.1794,1.1794
0.8451,2.9448,2.9448,2.9448,0.54134,1.3441,1.3441,1.3441
0.6881,1.9015,1.9015,1.9015,0.5102,1.2995,1.2995,1.2995
0.69596,1.9861,1.9861,1.9861,0.53221,1.3103,1.3103,1.3103
0.74217,2.2953,2.2953,2.2953,0.56646,1.4876,1.4876,1.4876
0.75493,2.1841,2.1841,2.1841,0.45095,1.1128,1.1128,1.1128
0.74216,1.9938,1.9938,1.9938,0.44861,1.0205,1.0205,1.0205
0.82477,2.7456,2.7456,2.7456,0.52573,1.2537,1.2537,1.2537
0.76512,2.069,2.069,2.069,0.44419,1.1691,1.1691,1.1691
0.6573,1.8637,1.8637,1.8637,0.42999,1.0221,1.0221,1.0221
0.78406,2.4052,2.4052,2.4052,0.51689,1.1521,1.1521,1.1521
0.49082,1.4382,1.4382,1.4383,0.16613,0.49136,0.49136,0.49136
0.71345,2.2133,2.2133,2.2133,0.3874,0.91209,0.91209,0.91209
0.9085,2.9239,2.9239,2.9239,0.40579,1.1461,1.1461,1.1461
0.776,2.6604,2.6604,2.6604,0.40176,1.1269,1.1269,1.1269
0.50067,1.4627,1.4627,1.4627,0.091219,0.4492,0.4492,0.4492
0.61375,1.782,1.782,1.782,0.23399,0.69746,0.69746,0.69746
0.80532,2.6242,2.6242,2.6242,0.37189,0.94328,0.94328,0.94328
0.7925,2.3617,2.3617,2.3617,0.39454,0.92708,0.92708,0.92708
0.79191,2.4679,2.4679,2.4679,0.20688,0.65117,0.65117,0.65117
0.8189,2.4498,2.4498,2.4498,0.3165,0.82683,0.82683,0.82683
0.46043,1.355,1.355,1.355,0.049407,0.39168,0.39168,0.39168
0.82046,2.6698,2.6698,2.6698,0.33441,0.73474,0.73474,0.73474
0.80295,2.6555,2.6555,2.6555,0.30406,0.79534,0.79535,0.79535
0.80046,2.5757,2.5757,2.5757,0.31914,0.82453,0.82453,0.82453
0.7961,2.7477,2.7477,2.7477,0.35183,0.80685,0.80685,0.80685
0.66774,2.0985,2.0985,2.0985,0.1779,0.53933,0.53933,0.53933
0.64175,2.1483,2.1483,2.1483,0.32654,0.82402,0.82402,0.82402
0.84103,2.9408,2.9408,2.9408,0.39494,1.1352,1.1352,1.1352
0.74039,1.9626,1.9626,1.9626,0.25316,0.65038,0.65038,0.65038
0.7875,2.8309,2.8309,2.8309,0.41658,1.0516,1.0516,1.0516
0.78066,2.7516,2.7516,2.7516,0.3029,0.87467,0.87467,0.87467
0.73324,2.2419,2.2419,2.2419,0.37174,0.8556,0.8556,0.8556
0.91093,3.1374,3.1374,3.1374,0.47207,1.1485,1.1485,1.1485
0.7444,2.3569,2.3569,2.3569,0.30512,0.84029,0.8403,0.8403
