1,2,3,4,5,6,7,8
0.72064,1.9532,1.9532,1.9532,0.44216,1.184,1.184,1.184
0.80127,2.4453,2.4453,2.4453,0.40619,1.0795,1.0795,1.0795
0.84601,2.4872,2.4872,2.4872,0.4602,1.1813,1.1813,1.1813
0.64096,1.7693,1.7693,1.7693,0.33491,0.91987,0.91987,0.91987
0.89223,2.6451,2.6451,2.6451,0.46876,1.0773,1.0773,1.0773
0.84054,2.7684,2.7684,2.7684,0.45411,1.1467,1.1467,1.1467
0.84424,2.3819,2.3819,2.3819,0.45,1.0434,1.0434,1.0434
0.70483,1.8702,1.8702,1.8702,0.47642,1.0272,1.0272,1.0272
0.84599,2.4633,2.4633,2.4633,0.47328,1.1522,1.1522,1.1522
0.71827,2.2856,2.2856,2.2856,0.4373,1.0525,1.0525,1.0525
0.64393,1.8355,1.8355,1.8355,0.43444,0.95651,0.95651,0.95651
0.66786,2.0224,2.0224,2.0224,0.45368,1.0424,1.0424,1.0424
0.79303,2.4753,2.4753,2.4753,0.33815,0.8856,0.8856,0.8856
0.47732,1.3263,1.3263,1.3263,0.13263,0.46709,0.46709,0.46709
0.78259,2.5516,2.5516,2.5516,0.33377,0.8761,0.8761,0.8761
0.83986,2.8049,2.8049,2.8049,0.43466,1.0907,1.0907,1.0907
0.71636,2.1522,2.1522,2.1522,0.31166,0.72282,0.72282,0.72282
0.42182,1.1975,1.1975,1.1974,0.059723,0.37103,0.37103,0.37103
0.91421,2.7774,2.7774,2.7774,0.3981,0.84043,0.84043,0.84043
0.76863,2.4276,2.4276,2.4276,0.3648,0.9414,0.9414,0.9414
0.75754,2.5498,2.5498,2.5498,0.19546,0.54504,0.54504,0.54504
0.71496,2.35,2.35,2.35,0.24284,0.60235,0.60235,0.60235
0.44128,1.4145,1.4145,1.4145,0.055625,0.38264,0.38264,0.38264
0.74785,2.3217,2.3217,2.3217,0.29502,0.64343,0.64343,0.64343
0.66993,2.1911,2.1911,2.1911,0.12498,0.54224,0.54224,0.54224
0.83443,2.569,2.569,2.569,0.2286,0.60854,0.60854,0.60854
0.81136,3.0006,3.0006,3.0006,0.26522,0.67208,0.67208,0.67208
0.67079,2.1557,2.1557,2.1557,0.1911,0.50685,0.50685,0.50685
0.69601,2.0075,2.0075,2.0075,0.31089,0.76117,0.76117,0.76117
0.6166,2.0738,2.0738,2.0738,0.311,0.7542,0.7542,0.7542
0.79734,2.194,2.194,2.194,0.3122,0.73538,0.73538,0.73538
0.74063,2.5586,2.5586,2.5586,0.40137,0.92937,0.92937,0.92937
0.80106,2.4531,2.4531,2.4531,0.27681,0.72403,0.72403,0.72403
0.63377,2.2241,2.2241,2.2241,0.25113,0.5708,0.5708,0.5708
0.81128,2.8203,2.8203,2.8203,0.35841,0.88329,0.88329,0.88329
0.74444,2.3158,2.3158,2.3158,0.33096,0.89012,0.89011,0.89011
