1,2,3,4,5,6,7,8
0.7138,2.004,2.004,2.004,0.57965,1.4815,1.4815,1.4815
0.8222,2.229,2.229,2.229,0.52489,1.2876,1.2876,1.2876
0.85963,2.3909,2.3909,2.3909,0.54844,1.4668,1.4668,1.4668
0.95919,2.7454,2.7454,2.7454,0.57943,1.5489,1.5489,1.5489
0.69713,1.8518,1.8518,1.8518,0.57663,1.494,1.494,1.494
0.94089,2.7813,2.7813,2.7813,0.63595,1.5322,1.5322,1.5322
0.71934,2.0666,2.0666,2.0666,0.64555,1.7903,1.7903,1.7903
0.78782,2.3935,2.3935,2.3935,0.59596,1.5559,1.5559,1.5559
0.85071,2.7824,2.7824,2.7824,0.67842,1.8172,1.8172,1.8172
0.60409,1.7533,1.7533,1.7533,0.5623,1.4716,1.4716,1.4716
0.76674,2.5799,2.5799,2.5799,0.59631,1.6434,1.6434,1.6434
0.79705,2.6843,2.6843,2.6843,0.68048,1.9873,1.9873,1.9873
0.93814,3.1541,3.1541,3.1541,0.46699,1.1609,1.1609,1.1609
0.75443,2.4168,2.4168,2.4168,0.49387,1.1706,1.1706,1.1706
0.82393,2.7237,2.7237,2.7237,0.57652,1.5145,1.5145,1.5145
0.62129,1.5266,1.5266,1.5266,0.32796,0.77247,0.77247,0.77247
0.81067,2.6824,2.6824,2.6824,0.43264,1.177,1.177,1.177
0.81426,2.7883,2.7883,2.7883,0.47271,1.1953,1.1953,1.1953
0.90727,3.1635,3.1635,3.1635,0.47708,1.3585,1.3585,1.3585
0.50424,1.8541,1.8541,1.8541,0.19657,0.6033,0.6033,0.6033
0.56074,1.8471,1.8471,1.8471,0.11712,0.39091,0.39091,0.39091
0.42832,1.4226,1.4226,1.4226,0.17403,0.5773,0.5773,0.5773
0.70104,2.387,2.387,2.387,0.3401,0.93886,0.93886,0.93886
0.78393,2.9405,2.9405,2.9405,0.36311,1.063,1.063,1.063
0.63426,2.1503,2.1503,2.1503,0.24906,0.71172,0.71172,0.71172
0.80281,2.9949,2.9949,2.9949,0.46124,1.1592,1.1592,1.1592
0.85751,2.7138,2.7138,2.7138,0.4872,1.4124,1.4124,1.4124
0.8546,2.8015,2.8015,2.8015,0.50863,1.3345,1.3345,1.3345
0.76062,1.918,1.918,1.918,0.33397,0.89711,0.89711,0.89711
0.69233,1.6942,1.6942,1.6941,0.39336,1.0434,1.0434,1.0434
0.88101,2.5304,2.5304,2.5304,0.52305,1.3681,1.3681,1.3681
0.69238,2.1954,2.1954,2.1954,0.49127,1.2985,1.2985,1.2985
0.76729,2.6199,2.6199,2.6199,0.46873,1.2365,1.2365,1.2365
0.89515,3.2864,3.2864,3.2864,0.60305,1.6298,1.6298,1.6298
0.80934,2.6763,2.6763,2.6763,0.63735,1.7016,1.7016,1.7016
0.748,2.6059,2.6059,2.6059,0.5147,1.471,1.471,1.471
