1,2,3,4,5,6,7,8
0.6948,2.1129,2.1129,2.1129,0.57753,1.5617,1.5617,1.5617
0.69331,2.1332,2.1332,2.1332,0.57669,1.5168,1.5168,1.5168
0.75839,2.4367,2.4367,2.4367,0.62976,1.7673,1.7673,1.7673
0.62336,1.8693,1.8693,1.8693,0.56187,1.4632,1.4632,1.4632
0.78057,2.3906,2.3906,2.3906,0.56097,1.4706,1.4706,1.4706
0.82747,2.6177,2.6177,2.6177,0.65565,1.7017,1.7017,1.7017
0.79018,2.7026,2.7026,2.7026,0.57168,1.5238,1.5238,1.5238
0.69321,2.2229,2.2229,2.2229,0.51065,1.2419,1.2419,1.2419
0.76219,2.5412,2.5412,2.5412,0.54167,1.4253,1.4253,1.4253
0.81383,2.5302,2.5302,2.5302,0.54694,1.405,1.405,1.405
0.62164,1.7506,1.7506,1.7506,0.42784,1.0947,1.0947,1.0947
0.76843,2.2887,2.2887,2.2887,0.51285,1.3544,1.3544,1.3544
0.74031,2.3241,2.3241,2.3241,0.38366,0.93228,0.93228,0.93228
0.58856,1.6791,1.6791,1.6791,0.15799,0.53286,0.53286,0.53286
0.90244,3.0357,3.0357,3.0357,0.36974,1.0643,1.0643,1.0643
0.89343,3.2587,3.2587,3.2587,0.48349,1.276,1.276,1.276
0.70153,2.5339,2.5339,2.5339,0.34098,0.90568,0.90568,0.90568
0.41716,1.5521,1.5521,1.5521,0.043389,0.37029,0.37029,0.37029
0.80853,3.0169,3.0169,3.0169,0.33559,1.2995,1.2995,1.2995
0.86811,2.9291,2.9291,2.9291,0.37084,1.1219,1.1219,1.1219
0.82185,2.6339,2.6339,2.6339,0.4304,1.2397,1.2397,1.2397
0.78498,2.7396,2.7396,2.7396,0.43985,1.3236,1.3236,1.3236
0.39136,1.2746,1.2746,1.2746,0.10397,0.42778,0.42778,0.42778
0.91238,3.2245,3.2245,3.2245,0.52193,1.4844,1.4844,1.4844
0.86169,2.9992,2.9992,2.9992,0.46068,1.2697,1.2697,1.2697
0.77554,2.6196,2.6196,2.6196,0.39131,1.0998,1.0998,1.0998
0.75347,2.6824,2.6824,2.6824,0.38276,0.87287,0.87287,0.87287
0.6366,2.0925,2.0925,2.0925,0.27864,0.81983,0.81983,0.81983
0.71666,2.3635,2.3635,2.3635,0.5076,1.3881,1.3881,1.3881
0.78853,2.8295,2.8295,2.8295,0.50248,1.4824,1.4824,1.4824
0.5999,1.95,1.95,1.95,0.26867,0.69081,0.69081,0.69081
0.8939,3.5921,3.5921,3.5921,0.6028,1.8575,1.8575,1.8575
0.88715,3.3152,3.3152,3.3152,0.52296,1.4152,1.4152,1.4152
0.71251,2.4391,2.4391,2.4391,0.36381,1.0047,1.0047,1.0047
0.8731,3.1709,3.1709,3.1709,0.46131,1.2739,1.2739,1.2739
0.71537,2.2707,2.2707,2.2707,0.42514,1.0662,1.0662,1.0662
