1,2,3,4,5,6,7,8
0.7572,2.5188,2.5188,2.5188,0.49739,1.3345,1.3345,1.3345
0.75047,2.4849,2.4849,2.4849,0.4781,1.1729,1.1729,1.1729
0.72434,2.2685,2.2685,2.2685,0.50895,1.3213,1.3213,1.3213
0.83132,2.3428,2.3428,2.3428,0.3418,0.81964,0.81964,0.81964
0.72499,1.8899,1.8899,1.8899,0.41149,0.78623,0.78623,0.78623
0.87799,2.4141,2.4141,2.4141,0.36198,0.87406,0.87406,0.87406
0.66899,1.9171,1.9171,1.9171,0.42748,0.9958,0.9958,0.9958
0.92149,3.0878,3.0878,3.0878,0.45296,1.1798,1.1798,1.1798
0.89712,2.8962,2.8962,2.8962,0.4937,1.2145,1.2145,1.2145
0.85877,2.6846,2.6846,2.6846,0.36402,0.98949,0.98949,0.98949
0.69376,1.9497,1.9497,1.9497,0.3116,0.92133,0.92133,0.92133
0.76971,2.4259,2.4259,2.4259,0.44599,0.95179,0.95179,0.95178
0.83745,2.904,2.904,2.904,0.36232,0.85598,0.85598,0.85598
0.67498,1.9727,1.9727,1.9727,0.18685,0.53708,0.53708,0.53708
0.53408,1.3852,1.3852,1.3852,0.09107,0.46211,0.46211,0.46211
0.93814,2.9569,2.9569,2.9569,0.36934,0.75569,0.75569,0.75569
0.88095,3.3749,3.3749,3.3749,0.26008,0.68535,0.68535,0.68535
0.74196,2.6399,2.6399,2.6399,0.11245,0.57459,0.57459,0.57459
0.42517,1.4818,1.4818,1.4818,0.052166,0.38878,0.38878,0.38878
0.66789,2.4227,2.4227,2.4227,0.13526,0.49284,0.49284,0.49284
0.49391,1.8313,1.8313,1.8313,0.082089,0.42158,0.42158,0.42158
0.45066,1.5572,1.5572,1.5572,0.040805,0.36985,0.36985,0.36985
0.75991,2.6978,2.6978,2.6978,0.21036,0.56864,0.56864,0.56864
0.74876,2.9244,2.9244,2.9244,0.35202,0.78529,0.78529,0.78529
0.74869,2.6831,2.6831,2.6831,0.24383,0.64612,0.64612,0.64612
0.8606,3.0881,3.0881,3.0881,0.39394,0.98842,0.98842,0.98842
0.79274,2.4084,2.4084,2.4084,0.31809,0.77143,0.77143,0.77143
0.96618,2.8948,2.8948,2.8948,0.19709,0.67632,0.67632,0.67632
0.70118,2.0245,2.0245,2.0245,0.30605,0.77487,0.77487,0.77487
0.71761,1.8242,1.8242,1.8242,0.26646,0.61998,0.61998,0.61998
0.72068,2.3792,2.3792,2.3792,0.26681,0.63951,0.63951,0.63951
0.82949,2.8629,2.8629,2.8629,0.46209,1.1898,1.1898,1.1898
0.87388,3.0034,3.0034,3.0034,0.34934,0.78252,0.78252,0.78252
0.92685,3.3349,3.3349,3.3349,0.32055,0.96278,0.96278,0.96278
0.76439,2.5394,2.5394,2.5394,0.26988,0.818,0.818,0.818
0.93305,2.8498,2.8498,2.8498,0.25349,0.67106,0.67106,0.67106
