1,2,3,4,5,6,7,8
0.69937,2.002,2.002,2.002,0.46671,1.0733,1.0733,1.0733
0.84444,2.5336,2.5336,2.5336,0.40324,1.0577,1.0577,1.0577
0.81305,2.5063,2.5063,2.5063,0.46766,1.1816,1.1816,1.1816
0.89446,2.5956,2.5956,2.5956,0.3905,0.96427,0.96427,0.96427
0.69651,1.7797,1.7797,1.7797,0.33801,0.95006,0.95006,0.95006
0.84648,2.2938,2.2938,2.2938,0.41635,1.1456,1.1456,1.1456
0.63761,1.7209,1.7209,1.7209,0.40979,0.9286,0.9286,0.9286
0.83011,2.4965,2.4965,2.4965,0.37272,0.95511,0.95512,0.95512
0.79638,2.5756,2.5756,2.5757,0.47281,1.1101,1.1101,1.1101
0.80866,2.2749,2.2749,2.2749,0.38435,0.8838,0.8838,0.8838
0.6812,1.7116,1.7116,1.7116,0.32484,0.80273,0.80273,0.80273
0.8481,2.5806,2.5806,2.5806,0.37958,0.85317,0.85317,0.85317
0.8952,2.8261,2.8261,2.8261,0.32527,0.86199,0.86199,0.86199
0.78083,2.3454,2.3454,2.3454,0.22651,0.56756,0.56756,0.56756
0.51164,1.3585,1.3585,1.3585,0.1248,0.48283,0.48283,0.48283
0.73048,2.0272,2.0272,2.0272,0.28929,0.60666,0.60666,0.60666
0.77192,2.4955,2.4955,2.4955,0.32532,0.73136,0.73136,0.73136
0.72605,2.2792,2.2792,2.2792,0.26123,0.57546,0.57546,0.57546
0.47772,1.4192,1.4192,1.4192,0.046595,0.36877,0.36877,0.36877
0.75556,2.1641,2.1641,2.1641,0.14718,0.62296,0.62296,0.62296
0.56022,1.7144,1.7144,1.7144,0.071329,0.41259,0.41259,0.41259
0.46344,1.4599,1.4599,1.4599,0.055555,0.36995,0.36995,0.36995
0.69135,2.2105,2.2105,2.2105,0.12516,0.45291,0.45291,0.45291
0.7664,2.2259,2.2259,2.2259,0.21469,0.57355,0.57355,0.57355
0.74151,2.6593,2.6593,2.6593,0.25537,0.58481,0.58481,0.58481
0.84707,3.1082,3.1082,3.1082,0.38108,0.81281,0.81281,0.81281
0.7962,2.3708,2.3708,2.3708,0.26826,0.68216,0.68216,0.68216
0.79051,2.4858,2.4858,2.4858,0.25994,0.63806,0.63806,0.63806
0.7479,2.0788,2.0788,2.0788,0.30529,0.79738,0.79738,0.79738
0.82702,2.2697,2.2697,2.2697,0.23379,0.65691,0.65691,0.65691
0.63649,2.0218,2.0218,2.0218,0.27217,0.63836,0.63836,0.63836
0.6738,2.0606,2.0606,2.0606,0.36479,0.78523,0.78523,0.78523
0.78228,2.613,2.613,2.613,0.34083,0.88086,0.88086,0.88086
0.88746,2.9206,2.9206,2.9206,0.34632,0.91625,0.91625,0.91625
0.63228,2.1524,2.1524,2.1524,0.24892,0.71106,0.71106,0.71106
0.69812,2.089,2.089,2.089,0.26447,0.68783,0.68783,0.68783
