1,2,3,4,5,6,7,8
0.7498,2.1239,2.1239,2.1239,0.41221,1.0883,1.0883,1.0883
0.73301,2.0479,2.0479,2.0479,0.4316,1.0309,1.0309,1.0309
0.77749,2.4149,2.4149,2.4149,0.47656,1.29,1.29,1.29
0.63822,1.8057,1.8057,1.8057,0.33463,0.83803,0.83803,0.83803
0.83046,2.4738,2.4738,2.4738,0.37851,0.92215,0.92215,0.92215
0.81491,2.5026,2.5026,2.5026,0.4056,1.0995,1.0995,1.0995
0.88084,2.6375,2.6375,2.6375,0.37464,0.99516,0.99516,0.99516
0.68241,1.7966,1.7966,1.7966,0.34255,0.86937,0.86938,0.86938
0.86398,2.4743,2.4743,2.4743,0.39371,0.97401,0.97401,0.97401
0.6824,1.8511,1.8511,1.8511,0.37852,0.99112,0.99112,0.99112
0.78251,2.4363,2.4363,2.4363,0.3783,1.0055,1.0055,1.0055
0.80633,2.5133,2.5133,2.5133,0.41945,1.0672,1.0672,1.0672
0.81694,2.5558,2.5558,2.5558,0.34221,0.6865,0.6865,0.6865
0.49003,1.428,1.428,1.428,0.07481,0.42007,0.42007,0.42007
0.7487,2.4919,2.4919,2.4919,0.25097,0.74735,0.74735,0.74735
0.82729,2.6527,2.6527,2.6527,0.31859,0.71026,0.71026,0.71026
0.73857,2.137,2.137,2.137,0.14213,0.52601,0.52601,0.52601
0.45301,1.4108,1.4108,1.4108,0.027479,0.3677,0.3677,0.3677
0.86348,2.845,2.845,2.845,0.23325,0.5728,0.5728,0.5728
0.76684,2.2958,2.2958,2.2958,0.20725,0.59416,0.59416,0.59416
0.80732,2.4061,2.4061,2.4061,0.31336,0.71088,0.71088,0.71088
0.67202,2.1805,2.1805,2.1805,0.17234,0.5181,0.5181,0.5181
0.45426,1.3775,1.3775,1.3775,0.033636,0.35847,0.35847,0.35847
0.80984,2.5478,2.5478,2.5478,0.12775,0.59792,0.59792,0.59792
0.78135,2.6119,2.6119,2.6119,0.37218,0.86108,0.86108,0.86108
0.78756,2.4173,2.4173,2.4173,0.26009,0.6329,0.63289,0.63289
0.82664,3.067,3.067,3.067,0.3852,0.88421,0.88421,0.88421
0.79959,2.4387,2.4387,2.4387,0.18661,0.61624,0.61624,0.61624
0.78272,2.652,2.652,2.652,0.4218,0.96337,0.96337,0.96337
0.60402,2.0268,2.0268,2.0268,0.26497,0.5269,0.5269,0.5269
0.79806,2.2233,2.2233,2.2233,0.24736,0.63994,0.63994,0.63994
0.76851,2.2129,2.2129,2.2129,0.26155,0.70479,0.70479,0.70479
0.76364,2.3714,2.3714,2.3714,0.41286,0.98422,0.98422,0.98422
0.62119,2.2593,2.2593,2.2593,0.25819,0.63723,0.63723,0.63723
0.81249,2.8797,2.8797,2.8797,0.37268,0.88102,0.88101,0.88101
0.76199,2.4625,2.4625,2.4625,0.25212,0.59399,0.59399,0.59399
