1,2,3,4,5,6,7,8
0.70357,2.0057,2.0057,2.0057,0.44866,1.1584,1.1584,1.1584
0.73556,2.1683,2.1683,2.1683,0.44956,1.2736,1.2736,1.2736
0.77608,2.6477,2.6477,2.6477,0.48824,1.3371,1.3371,1.3371
0.67671,2.0958,2.0958,2.0958,0.41327,0.99734,0.99734,0.99734
0.64277,1.7901,1.7901,1.7901,0.37859,0.87908,0.87908,0.87908
0.81879,2.4596,2.4596,2.4596,0.41915,0.94162,0.94162,0.94162
0.67636,1.7822,1.7822,1.7822,0.41911,1.1147,1.1147,1.1147
0.84665,2.6416,2.6416,2.6416,0.50045,1.1499,1.1499,1.1499
0.80449,2.4216,2.4216,2.4216,0.49229,1.2774,1.2774,1.2774
0.86221,2.4088,2.4088,2.4088,0.40337,0.97402,0.97402,0.97402
0.67989,1.732,1.732,1.732,0.36585,0.85595,0.85595,0.85595
0.89711,2.3458,2.3458,2.3458,0.43771,1.0846,1.0846,1.0846
0.80301,2.385,2.385,2.385,0.33855,0.87578,0.87578,0.87578
0.86552,2.8458,2.8458,2.8458,0.28497,0.6703,0.6703,0.6703
0.8192,2.6694,2.6694,2.6694,0.40037,0.96516,0.96516,0.96516
0.69548,2.2132,2.2132,2.2132,0.26485,0.76613,0.76613,0.76613
0.58811,1.7357,1.7357,1.7357,0.23673,0.61525,0.61525,0.61525
0.76772,2.4861,2.4861,2.4861,0.2921,0.65226,0.65226,0.65226
0.82124,2.6513,2.6513,2.6513,0.33193,0.92011,0.92011,0.92011
0.70939,2.1679,2.1679,2.1679,0.22522,0.55518,0.55518,0.55518
0.7665,2.2999,2.2999,2.2999,0.30752,0.70764,0.70764,0.70764
0.46078,1.3349,1.3349,1.3349,0.030986,0.35991,0.35991,0.35992
0.78885,2.3692,2.3692,2.3692,0.26505,0.77663,0.77663,0.77663
0.4474,1.4682,1.4682,1.4682,0.072758,0.40961,0.40961,0.40961
0.78798,2.4694,2.4694,2.4694,0.28112,0.84141,0.84141,0.84141
0.82734,2.7791,2.7791,2.7791,0.26727,0.65019,0.65019,0.65019
0.8059,2.859,2.859,2.859,0.33217,0.78931,0.78931,0.78931
0.83103,2.9478,2.9478,2.9478,0.42247,0.88314,0.88314,0.88314
0.7914,2.8201,2.8201,2.8201,0.42957,0.97124,0.97124,0.97124
0.63066,1.7555,1.7555,1.7555,0.20058,0.57689,0.57689,0.57689
0.79548,2.2023,2.2023,2.2023,0.41065,1.2492,1.2492,1.2492
0.80639,2.1506,2.1506,2.1506,0.26518,0.71144,0.71144,0.71144
0.79667,2.3511,2.3511,2.3511,0.3534,0.90682,0.90682,0.90682
0.74021,2.4706,2.4706,2.4706,0.34299,0.79679,0.79679,0.79679
0.74922,2.3816,2.3816,2.3816,0.42285,1.0605,1.0605,1.0605
0.87979,2.8864,2.8864,2.8864,0.47032,1.0155,1.0155,1.0155
